CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,Dependent_count_t,Months_Inactive_12_mon_t,Contacts_Count_12_mon_t,Total_Revolving_Bal_t,Total_Amt_Chng_Q4_Q1_t,Total_Ct_Chng_Q4_Q1_t,Avg_Utilization_Ratio_t,Education_Level_t,Marital_Status_t,Income_Category_t
34,789430083,Existing Customer,41,F,5,High School,Single,$40K - $60K,Blue,32,6,1,2,14987.0,1425,13562.0,0.8,4470,83,0.844,0.095,5.5277e-05,0.99994,5.0,1.0,2.0,1425.0,0.8,0.844,0.095,High School,Single,$40K - $60K
35,711844758,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1,0,13551.0,1294,12257.0,0.791,1388,37,1.056,0.095,2.1081e-05,0.99998,3.0,1.0,2.0,1294.0,0.791,1.056,0.095,Graduate,Single,$80K - $120K
36,716225433,Existing Customer,60,M,1,Uneducated,Single,$80K - $120K,Blue,51,6,3,4,26566.0,2517,24049.0,0.985,3103,65,0.625,0.095,0.000498,0.9995,1.0,3.0,4.0,2517.0,0.985,0.625,0.095,Uneducated,Single,$80K - $120K
37,780581508,Existing Customer,58,F,1,Doctorate,Single,$40K - $60K,Silver,47,5,2,4,16677.0,1590,15087.0,0.885,1410,37,0.609,0.095,0.00040077,0.9996,1.0,2.0,4.0,1590.0,0.885,0.609,0.095,Doctorate,Single,$40K - $60K
38,780126033,Attrited Customer,50,M,4,Unknown,Married,$40K - $60K,Blue,35,6,1,5,12914.0,1227,11687.0,0.392,2082,54,0.459,0.095,0.99684,0.00316131,4.0,1.0,5.0,1227.0,0.392,0.459,0.095,others,Married,$40K - $60K
39,721393083,Existing Customer,52,F,3,Unknown,Single,$40K - $60K,Blue,45,5,3,1,6053.0,577,5476.0,0.85,5035,64,1.37,0.095,0.00012373,0.99988,3.0,3.0,1.0,577.0,0.85,1.37,0.095,others,Single,$40K - $60K
40,718451133,Existing Customer,48,M,2,Graduate,Single,$60K - $80K,Blue,40,4,5,4,14951.0,1413,13538.0,0.784,3899,68,1.061,0.095,0.00057631,0.99942,2.0,5.0,4.0,1413.0,0.784,1.061,0.095,Graduate,Single,$60K - $80K
41,720522633,Existing Customer,44,M,3,College,Married,$40K - $60K,Silver,36,2,1,2,16199.0,1533,14666.0,0.855,8150,106,0.631,0.095,5.0206e-05,0.99995,3.0,1.0,2.0,1533.0,0.855,0.631,0.095,College,Married,$40K - $60K
42,708492558,Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,36,5,3,3,15088.0,865,14223.0,0.939,1107,21,1.625,0.057,0.00034503,0.99965,3.0,3.0,3.0,865.0,0.939,1.625,0.057,others,Married,$60K - $80K
43,720539583,Existing Customer,46,M,4,Unknown,Single,$60K - $80K,Blue,31,4,1,4,21226.0,1202,20024.0,0.755,14103,96,0.655,0.057,0.00018218,0.99982,4.0,1.0,4.0,1202.0,0.755,0.655,0.057,others,Single,$60K - $80K
44,794482158,Existing Customer,46,M,3,College,Single,$80K - $120K,Silver,32,2,1,3,34516.0,1954,32562.0,0.755,7594,69,0.725,0.057,8.4444e-05,0.99992,3.0,1.0,3.0,1954.0,0.755,0.725,0.057,College,Single,$80K - $120K
45,778873608,Existing Customer,44,M,4,Uneducated,Married,$80K - $120K,Silver,25,3,1,1,34516.0,1984,32532.0,0.734,14335,116,0.758,0.057,3.2362e-05,0.99997,4.0,1.0,1.0,1984.0,0.734,0.758,0.057,Uneducated,Married,$80K - $120K
46,713735508,Existing Customer,35,M,3,Uneducated,Married,$80K - $120K,Blue,25,3,1,2,11927.0,675,11252.0,0.574,1986,36,0.636,0.057,5.8763e-05,0.99994,3.0,1.0,2.0,675.0,0.574,0.636,0.057,Uneducated,Married,$80K - $120K
47,721247883,Existing Customer,52,M,2,College,Married,$80K - $120K,Blue,41,4,2,3,16207.0,922,15285.0,0.635,3621,83,0.886,0.057,0.00018612,0.99981,2.0,2.0,3.0,922.0,0.635,0.886,0.057,College,Married,$80K - $120K
48,714832383,Existing Customer,35,M,0,High School,Single,$80K - $120K,Gold,29,6,2,3,34516.0,1965,32551.0,1.044,2949,70,1.0,0.057,0.00018399,0.99982,2.0,2.0,3.0,1965.0,1.044,1.0,0.057,High School,Single,$80K - $120K
49,715174158,Existing Customer,31,M,1,College,Married,$80K - $120K,Blue,36,4,1,0,25215.0,1445,23770.0,1.033,2588,48,1.0,0.057,1.854e-05,0.99998,1.0,1.0,2.0,1445.0,1.033,1.0,0.057,College,Married,$80K - $120K
50,714912408,Existing Customer,45,M,2,Uneducated,Married,$80K - $120K,Blue,37,3,1,1,32275.0,1845,30430.0,0.841,14917,88,0.796,0.057,3.415e-05,0.99997,2.0,1.0,1.0,1845.0,0.841,0.796,0.057,Uneducated,Married,$80K - $120K
51,718354683,Existing Customer,59,F,0,Graduate,Single,$40K - $60K,Silver,45,6,3,3,21358.0,1225,20133.0,0.681,3646,77,0.75,0.057,0.00023457,0.99977,2.0,3.0,3.0,1225.0,0.681,0.75,0.057,Graduate,Single,$40K - $60K
52,712000758,Existing Customer,51,M,4,Uneducated,Single,$120K +,Silver,39,5,2,1,34516.0,1959,32557.0,0.888,3997,54,0.929,0.057,6.6879e-05,0.99993,4.0,2.0,1.0,1959.0,0.888,0.929,0.057,Uneducated,Single,$120K +
53,779349783,Existing Customer,46,M,3,Doctorate,Married,$60K - $80K,Blue,31,2,2,2,21161.0,1198,19963.0,0.783,13119,104,0.625,0.057,0.00017091,0.99983,3.0,2.0,2.0,1198.0,0.783,0.625,0.057,Doctorate,Married,$60K - $80K
54,714935883,Existing Customer,45,M,3,Uneducated,Married,$40K - $60K,Blue,36,3,1,1,10619.0,607,10012.0,0.883,4074,65,0.477,0.057,3.5437e-05,0.99996,3.0,1.0,1.0,607.0,0.883,0.477,0.057,Uneducated,Married,$40K - $60K
55,771484908,Existing Customer,31,M,0,Graduate,Divorced,$80K - $120K,Silver,19,1,3,3,34516.0,1984,32532.0,0.757,14969,96,0.811,0.057,0.00023457,0.99977,2.0,3.0,3.0,1984.0,0.757,0.811,0.057,Graduate,Divorced,$80K - $120K
56,797491683,Attrited Customer,45,M,5,Unknown,Married,$80K - $120K,Silver,39,2,2,3,34516.0,1964,32552.0,0.624,2234,49,0.361,0.057,0.99493,0.00507,5.0,2.0,3.0,1964.0,0.624,0.361,0.057,others,Married,$80K - $120K
57,826130133,Existing Customer,58,M,2,Graduate,Married,$120K +,Blue,54,6,2,4,31680.0,1812,29868.0,0.483,1121,25,0.562,0.057,0.00032656,0.99967,2.0,2.0,4.0,1812.0,0.483,0.562,0.057,Graduate,Married,$120K +
58,714467733,Existing Customer,45,M,2,Graduate,Married,$60K - $80K,Silver,36,3,2,3,30428.0,1721,28707.0,0.717,4178,69,0.605,0.057,0.00017297,0.99983,2.0,2.0,3.0,1721.0,0.717,0.605,0.057,Graduate,Married,$60K - $80K
59,708331758,Existing Customer,47,F,2,Uneducated,Divorced,Unknown,Silver,35,3,1,4,32444.0,1843,30601.0,1.127,3725,60,0.622,0.057,0.00014682,0.99985,2.0,1.0,4.0,1843.0,1.127,0.622,0.057,Uneducated,Divorced,others
60,789432033,Attrited Customer,32,F,1,Graduate,Married,Less than $40K,Blue,23,1,2,3,4065.0,230,3835.0,0.779,7844,64,0.73,0.057,0.99447,0.00553,1.0,2.0,3.0,230.0,0.779,0.73,0.057,Graduate,Married,Less than $40K
61,784560258,Existing Customer,45,M,1,Uneducated,Divorced,$60K - $80K,Blue,39,4,2,0,21721.0,1247,20474.0,0.657,3937,63,0.658,0.057,4.0521e-05,0.99996,1.0,2.0,2.0,1247.0,0.657,0.658,0.057,Uneducated,Divorced,$60K - $80K
62,778242708,Existing Customer,63,M,1,Unknown,Single,$60K - $80K,Silver,53,5,4,4,25502.0,1450,24052.0,0.797,4323,81,0.688,0.057,0.00058132,0.99942,1.0,4.0,4.0,1450.0,0.797,0.688,0.057,others,Single,$60K - $80K
63,710703708,Existing Customer,46,F,4,Unknown,Single,$40K - $60K,Silver,35,6,3,2,16985.0,968,16017.0,0.455,2961,56,0.647,0.057,0.00018736,0.99981,4.0,3.0,2.0,968.0,0.455,0.647,0.057,others,Single,$40K - $60K
64,712654233,Existing Customer,39,M,3,High School,Married,$80K - $120K,Blue,27,1,3,1,19150.0,1093,18057.0,0.716,8327,85,0.545,0.057,0.00010943,0.99989,3.0,3.0,1.0,1093.0,0.716,0.545,0.057,High School,Married,$80K - $120K
65,709910733,Existing Customer,49,F,4,High School,Single,Unknown,Silver,30,2,3,2,34516.0,1963,32553.0,0.758,13174,86,0.792,0.057,0.0001657,0.99983,4.0,3.0,2.0,1963.0,0.758,0.792,0.057,High School,Single,others
66,718291233,Existing Customer,46,M,4,Graduate,Married,$80K - $120K,Blue,33,5,1,3,16227.0,917,15310.0,0.479,4314,67,0.634,0.057,9.7154e-05,0.9999,4.0,1.0,3.0,917.0,0.479,0.634,0.057,Graduate,Married,$80K - $120K
67,716406483,Existing Customer,30,M,0,Unknown,Single,$60K - $80K,Blue,20,1,3,3,23760.0,1349,22411.0,0.961,13124,103,0.746,0.057,0.00028535,0.99971,2.0,3.0,3.0,1349.0,0.961,0.746,0.057,others,Single,$60K - $80K
68,713144208,Attrited Customer,51,F,0,High School,Married,Unknown,Blue,42,1,4,4,9989.0,568,9421.0,0.52,2053,49,0.485,0.057,0.99808,0.00191756,2.0,4.0,4.0,568.0,0.52,0.485,0.057,High School,Married,others
69,828281733,Existing Customer,43,M,4,Unknown,Married,$120K +,Blue,39,3,3,3,14881.0,848,14033.0,0.762,1408,23,1.091,0.057,0.00034872,0.99965,4.0,3.0,3.0,848.0,0.762,1.091,0.057,others,Married,$120K +
70,713852958,Existing Customer,51,F,2,Graduate,Single,Unknown,Silver,41,5,3,3,31501.0,1810,29691.0,0.71,3893,81,0.62,0.057,0.00027334,0.99973,2.0,3.0,3.0,1810.0,0.71,0.62,0.057,Graduate,Single,others
71,714147858,Existing Customer,44,M,3,High School,Single,$80K - $120K,Blue,35,3,3,4,18358.0,1044,17314.0,0.524,3920,85,0.491,0.057,0.00052052,0.99948,3.0,3.0,4.0,1044.0,0.524,0.491,0.057,High School,Single,$80K - $120K
72,718623783,Existing Customer,56,M,2,College,Married,$120K +,Blue,36,6,3,2,27157.0,1547,25610.0,0.487,1535,38,0.267,0.057,0.00017488,0.99983,2.0,3.0,2.0,1547.0,0.487,0.267,0.057,College,Married,$120K +
73,712494108,Existing Customer,38,M,2,Post-Graduate,Single,$60K - $80K,Silver,36,3,3,4,34516.0,1954,32562.0,0.436,1872,52,0.486,0.057,0.0005486,0.99945,2.0,3.0,4.0,1954.0,0.436,0.486,0.057,Post-Graduate,Single,$60K - $80K
74,716823408,Existing Customer,65,M,0,Doctorate,Single,Unknown,Blue,56,3,2,2,28410.0,1608,26802.0,0.913,2278,77,1.139,0.057,0.00014134,0.99986,2.0,2.0,2.0,1608.0,0.913,1.139,0.057,Doctorate,Single,others
75,716451183,Existing Customer,54,F,1,Uneducated,Married,$40K - $60K,Blue,44,5,2,3,5556.0,1711,3845.0,1.434,1706,21,1.625,0.308,0.00018475,0.99982,1.0,2.0,3.0,1711.0,1.434,1.625,0.308,Uneducated,Married,$40K - $60K
76,716059608,Existing Customer,48,F,4,College,Single,Less than $40K,Blue,38,4,3,3,4894.0,1505,3389.0,0.78,3277,67,0.558,0.308,0.00030845,0.99969,4.0,3.0,3.0,1505.0,0.78,0.558,0.308,College,Single,Less than $40K
77,709841433,Existing Customer,45,F,2,Graduate,Divorced,Less than $40K,Blue,33,6,3,3,3855.0,1188,2667.0,0.927,3885,83,0.627,0.308,0.00030251,0.9997,2.0,3.0,3.0,1188.0,0.927,0.627,0.308,Graduate,Divorced,Less than $40K
78,708514383,Existing Customer,38,F,2,College,Married,Unknown,Blue,29,2,1,0,3809.0,1172,2637.0,0.9,4314,81,0.976,0.308,1.9752e-05,0.99998,2.0,1.0,2.0,1172.0,0.9,0.976,0.308,College,Married,others
79,789531633,Existing Customer,53,F,4,Graduate,Single,Less than $40K,Blue,46,4,1,2,4117.0,777,3340.0,0.592,5218,88,0.6,0.189,5.7762e-05,0.99994,4.0,1.0,2.0,777.0,0.592,0.6,0.189,Graduate,Single,Less than $40K
80,778207083,Attrited Customer,53,M,4,Uneducated,Single,$80K - $120K,Blue,44,3,3,2,11561.0,2189,9372.0,0.742,2153,39,0.5,0.189,0.99487,0.00513,4.0,3.0,2.0,2189.0,0.742,0.5,0.189,Uneducated,Single,$80K - $120K
81,827318958,Existing Customer,49,F,4,Unknown,Single,Less than $40K,Blue,45,5,3,2,9431.0,1785,7646.0,0.603,14261,99,0.65,0.189,0.00020735,0.99979,4.0,3.0,2.0,1785.0,0.603,0.65,0.189,others,Single,Less than $40K
82,719745558,Existing Customer,52,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2,9137.0,1729,7408.0,0.974,4626,77,0.75,0.189,0.00011811,0.99988,3.0,2.0,2.0,1729.0,0.974,0.75,0.189,Graduate,Single,$60K - $80K
83,713241033,Existing Customer,34,M,0,Graduate,Married,$60K - $80K,Blue,26,4,3,3,5175.0,977,4198.0,1.705,2405,49,0.885,0.189,0.0002596,0.99974,2.0,3.0,3.0,977.0,1.705,0.885,0.189,Graduate,Married,$60K - $80K
84,713733633,Attrited Customer,27,M,0,High School,Divorced,$60K - $80K,Blue,36,2,3,2,13303.0,2517,10786.0,0.929,10219,85,0.809,0.189,0.99338,0.00662,2.0,3.0,2.0,2517.0,0.929,0.809,0.189,High School,Divorced,$60K - $80K
85,716924058,Existing Customer,58,F,2,Uneducated,Married,$40K - $60K,Blue,49,3,1,3,6175.0,1166,5009.0,0.803,1417,25,0.25,0.189,9.5249e-05,0.9999,2.0,1.0,3.0,1166.0,0.803,0.25,0.189,Uneducated,Married,$40K - $60K
86,713647083,Existing Customer,53,F,2,Uneducated,Single,Unknown,Blue,36,5,2,3,9314.0,1761,7553.0,0.562,3696,80,0.778,0.189,0.00019683,0.9998,2.0,2.0,3.0,1761.0,0.562,0.778,0.189,Uneducated,Single,others
87,718676283,Existing Customer,43,F,2,Uneducated,Married,Less than $40K,Blue,34,6,2,3,8771.0,1662,7109.0,0.555,3779,72,0.756,0.189,0.00019683,0.9998,2.0,2.0,3.0,1662.0,0.555,0.756,0.189,Uneducated,Married,Less than $40K
88,710288883,Existing Customer,40,F,1,Graduate,Married,Less than $40K,Blue,32,4,1,5,8749.0,1654,7095.0,0.695,5054,73,0.553,0.189,0.00025668,0.99974,1.0,1.0,5.0,1654.0,0.695,0.553,0.189,Graduate,Married,Less than $40K
89,718276758,Existing Customer,52,F,1,Graduate,Single,$40K - $60K,Blue,40,2,1,2,4705.0,890,3815.0,0.723,8226,97,0.644,0.189,5.1697e-05,0.99995,1.0,1.0,2.0,890.0,0.723,0.644,0.189,Graduate,Single,$40K - $60K
90,803335008,Existing Customer,48,F,2,Graduate,Divorced,Unknown,Blue,43,2,3,3,7791.0,1472,6319.0,0.979,13945,107,0.754,0.189,0.00030251,0.9997,2.0,3.0,3.0,1472.0,0.979,0.754,0.189,Graduate,Divorced,others
91,710968008,Existing Customer,37,F,4,Uneducated,Married,Less than $40K,Blue,26,2,1,2,3423.0,647,2776.0,0.73,14308,124,0.722,0.189,5.9391e-05,0.99994,4.0,1.0,2.0,647.0,0.73,0.722,0.189,Uneducated,Married,Less than $40K
92,773442258,Existing Customer,57,M,1,Doctorate,Married,$80K - $120K,Blue,51,5,2,2,8571.0,1616,6955.0,0.6,1397,28,0.647,0.189,0.0001546,0.99985,1.0,2.0,2.0,1616.0,0.6,0.647,0.189,Doctorate,Married,$80K - $120K
93,714337233,Attrited Customer,43,F,2,Graduate,Married,Less than $40K,Silver,25,6,2,4,10388.0,1961,8427.0,0.703,10294,61,0.649,0.189,0.99662,0.00337654,2.0,2.0,4.0,1961.0,0.703,0.649,0.189,Graduate,Married,Less than $40K
94,788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516.0,1515,33001.0,0.592,1293,32,0.6,0.044,0.00015398,0.99985,4.0,1.0,4.0,1515.0,0.592,0.6,0.044,Uneducated,Single,$80K - $120K
95,709719333,Existing Customer,41,M,2,High School,Single,$80K - $120K,Blue,29,6,3,4,28422.0,1258,27164.0,0.672,4841,80,0.6,0.044,0.00050163,0.9995,2.0,3.0,4.0,1258.0,0.672,0.6,0.044,High School,Single,$80K - $120K
96,709514433,Existing Customer,41,M,3,High School,Married,$80K - $120K,Blue,33,2,1,1,13818.0,609,13209.0,0.787,13209,101,0.656,0.044,3.3505e-05,0.99997,3.0,1.0,1.0,609.0,0.787,0.656,0.044,High School,Married,$80K - $120K
97,721375308,Existing Customer,48,M,3,High School,Married,$80K - $120K,Blue,36,5,1,3,30579.0,1351,29228.0,0.759,1289,19,0.727,0.044,9.3448e-05,0.99991,3.0,1.0,3.0,1351.0,0.759,0.727,0.044,High School,Married,$80K - $120K
98,821759658,Attrited Customer,41,F,4,High School,Divorced,$40K - $60K,Blue,37,3,2,3,4650.0,204,4446.0,0.685,2014,54,0.8,0.044,0.9949,0.0051,4.0,2.0,3.0,204.0,0.685,0.8,0.044,High School,Divorced,$40K - $60K
